order_id,order_date,customer_id,city,category,product,quantity,price,discount,revenue,rating
ORD1001,2025-03-15,CUST1012,Hyderabad,Electronics,Smartwatch,4.0,61233.07,10.0,220439.05,5.0
ORD1002,2025-02-16,CUST1061,Bengaluru,Books,SQL Guide,4.0,1479.1,15.0,5028.94,4.0
ORD1003,2025-06-14,CUST1028,Mumbai,Clothing,Sneakers,4.0,4202.43,15.0,14288.26,4.0
ORD1004,2025-08-19,CUST1085,Bengaluru,Beauty,Moisturizer,1.0,4189.87,5.0,3980.38,5.0
ORD1005,2025-05-13,CUST1057,Pune,Electronics,Smartwatch,3.0,56259.78,25.0,126584.51,3.0
ORD1006,2025-09-29,CUST1050,Bengaluru,Electronics,Wireless Earbuds,1.0,50349.04,25.0,37761.78,5.0
ORD1007,2025-09-08,CUST1058,Bengaluru,Books,Python Basics,1.0,584.21,10.0,525.79,2.0
ORD1008,2025-10-31,CUST1012, mumbai ,Clothing,Jacket,4.0,2467.18,0.0,9868.72,5.0
ORD1009,2025-03-29,CUST1082,Chennai,Sports,Dumbbells,3.0,2631.13,20.0,6314.71,3.0
ORD1010,2025-10-15,CUST1057,Chennai,Electronics,Smartwatch,1.0,8456.46,20.0,6765.17,5.0
ORD1011,2025-03-31,CUST1014,Pune,Clothing,Sneakers,3.0,3059.34,10.0,8260.22,3.0
ORD1012,2025-10-07,CUST1068,Hyderabad,Sports,Football,3.0,3608.8,0.0,10826.4,5.0
ORD1013,2025-12-25,CUST1026,Bengaluru,Electronics,Wireless Earbuds,4.0,9910.71,5.0,37660.7,4.0
ORD1014,2025-01-22,CUST1111,Bengaluru,Home & Kitchen,Bedsheet,5.0,3420.12,20.0,13680.48,3.0
ORD1015,2025-05-30,CUST1049,Pune,Home & Kitchen,Coffee Maker,1.0,9579.66,15.0,8142.71,5.0
ORD1016,2025-02-02,CUST1084,Pune,Sports,Cricket Bat,1.0,624.92,0.0,624.92,5.0
ORD1017,2025-06-30,CUST1054,Delhi,Sports,Yoga Mat,5.0,1337.72,15.0,5685.31,5.0
ORD1018,2025-05-13,CUST1042,Mumbai,Home & Kitchen,Mixer,2.0,7859.17,15.0,13360.59,2.0
ORD1019,2025-10-06,CUST1117,Bengaluru,electronics,Bedsheet,2.0,8636.72,25.0,12955.08,3.0
ORD1020,2025-04-10,CUST1054,Ahmedabad,Sports,Cricket Bat,4.0,2971.49,20.0,9508.77,2.0
ORD1021,2025-07-19,CUST1022,Pune,Electronics,Smartphone,4.0,26969.31,5.0,102483.38,4.0
ORD1022,2025-06-07,CUST1017,Hyderabad,Books,Data Analytics,4.0,1379.19,15.0,4689.25,5.0
ORD1023,2025-03-07,CUST1060,Delhi,Electronics,Wireless Earbuds,4.0,33780.06,0.0,135120.24,1.0
ORD1024,2025-08-03,CUST1036,Ahmedabad,Clothing,Jacket,1.0,965.31,5.0,917.04,3.0
ORD1025,2025-02-25,CUST1116,Pune,Books,SQL Guide,3.0,1186.37,10.0,3203.2,1.0
ORD1026,2025-06-27,CUST1053,Ahmedabad,Home & Kitchen,Air Fryer,4.0,1726.58,5.0,6561.0,4.0
ORD1027,2025-07-18,CUST1063,Kolkata,Electronics,Wireless Earbuds,3.0,24552.49,10.0,66291.72,4.0
ORD1028,2025-11-24,CUST1037,Hyderabad,Home & Kitchen,Air Fryer,1.0,10054.47,0.0,10054.47,3.0
ORD1029,2025-09-24,CUST1088,Ahmedabad,Clothing,T-Shirt,4.0,1765.55,20.0,5649.76,5.0
ORD1030,2025-03-26,CUST1017,Hyderabad,Sports,Cricket Bat,1.0,5538.07,25.0,4153.55,1.0
ORD1031,2025-03-15,CUST1115,Chennai,Beauty,Perfume,2.0,4098.78,20.0,6558.05,4.0
ORD1032,2025-12-08,CUST1064,Mumbai,Clothing, Smartphone ,3.0,1651.84,25.0,3716.64,3.0
ORD1033,2025-11-05,CUST1107,Delhi,Clothing,Jeans,5.0,4512.55,25.0,16922.06,5.0
ORD1034,2025-10-09,CUST1050,Bengaluru,Books,Data Analytics,3.0,773.89,0.0,2321.67,5.0
ORD1035,2025-12-12,CUST1029,Mumbai,Books,Data Analytics,4.0,693.69,20.0,2219.81,5.0
ORD1036,2025-03-07,CUST1087,Kolkata,Electronics,Laptop,5.0,17503.63,20.0,70014.52,4.0
ORD1037,2025-07-02,CUST1061,Pune,Electronics,Laptop,2.0,56199.1,5.0,106778.29,5.0
